dataset,image,sigma,realization,method,psnr,ssim,runtime
BSD68,test037.png,10,1,tv,17.4539432575,0.2437639892,1.0633631
BSD68,test038.png,10,1,adaptive,22.0957084599328,0.511732216862219,5.5124457
BSD68,test038.png,10,1,bilateral,30.2584255941006,0.82249444329483,0.6117189
BSD68,test038.png,10,1,guided,29.154857114856,0.794173217775544,0.0114081
BSD68,test038.png,10,1,l0,20.7905287486376,0.471893225735671,2.5362405
BSD68,test038.png,10,1,lgss,25.3420962916,0.6429787739,4.1268858
BSD68,test038.png,10,1,original,18.7190563971343,0.413382445343779,4.4248495
BSD68,test038.png,10,1,tv,17.3365276946,0.2402568069,1.0811829
BSD68,test039.png,10,1,adaptive,22.7602793301967,0.73261276713982,5.8499074
BSD68,test039.png,10,1,bilateral,33.2613097720856,0.902765580432068,0.7527424
BSD68,test039.png,10,1,guided,31.1944506235263,0.869759579022371,0.0168162
BSD68,test039.png,10,1,l0,23.1608184764643,0.722500238697383,3.8715812
BSD68,test039.png,10,1,lgss,26.2145126379,0.8082773676,4.2274636
BSD68,test039.png,10,1,original,19.1982467982552,0.642234331672389,4.5353388
BSD68,test039.png,10,1,tv,17.1316165552,0.1824137107,1.0899256
BSD68,test040.png,10,1,adaptive,22.784647691837,0.608439537775194,7.9151461
BSD68,test040.png,10,1,bilateral,30.8667996885618,0.830977480064553,0.6522759
BSD68,test040.png,10,1,guided,29.3976555175249,0.809198786628853,0.0126962
BSD68,test040.png,10,1,l0,22.3751037028442,0.597739871814482,3.5622469
BSD68,test040.png,10,1,lgss,26.3011029236,0.6992352726,3.7334498
BSD68,test040.png,10,1,original,19.9397512262351,0.506501051968661,11.5586235
BSD68,test040.png,10,1,tv,17.4044497188,0.2784997098,0.9668927
BSD68,test041.png,10,1,adaptive,22.260445869089,0.602325733496307,6.2108603
BSD68,test041.png,10,1,bilateral,30.0027756589682,0.866971536063629,0.6251772
BSD68,test041.png,10,1,guided,28.685491242097,0.845013792975219,0.0135008
BSD68,test041.png,10,1,l0,20.9856192811113,0.547555941199666,3.1033836
BSD68,test041.png,10,1,lgss,25.1927413955,0.704840472,3.7360507
BSD68,test041.png,10,1,original,18.2855543868248,0.422677246273593,7.7459518
BSD68,test041.png,10,1,tv,17.9877849916,0.334460363,0.997268
BSD68,test042.png,10,1,adaptive,24.6622936024753,0.698974073164815,5.2121285
BSD68,test042.png,10,1,bilateral,31.4739315447166,0.84817282911404,0.5690056
BSD68,test042.png,10,1,guided,30.2391667024472,0.834058884624326,0.0125193
BSD68,test042.png,10,1,l0,22.8558835638467,0.665709135870947,2.4997828
BSD68,test042.png,10,1,lgss,25.4873874235,0.7335118616,3.8798632
BSD68,test042.png,10,1,original,19.3293702573398,0.581867325197178,5.2726392
BSD68,test042.png,10,1,tv,17.3832460114,0.2437655825,0.9758586
BSD68,test043.png,10,1,adaptive,22.315020290084,0.68026440849483,6.0415071
BSD68,test043.png,10,1,bilateral,31.4581155141484,0.896062474127432,0.959382
BSD68,test043.png,10,1,guided,29.7789116406918,0.871934501450223,0.0170499
BSD68,test043.png,10,1,l0,21.1706115716639,0.65771222138665,3.1187656
BSD68,test043.png,10,1,lgss,24.4732643699,0.7393853247,3.776176
BSD68,test043.png,10,1,original,20.2950718532916,0.607469765418299,5.0573019
BSD68,test043.png,10,1,tv,17.5194870419,0.2782717188,0.969184
