Metric,Dataset,Sigma,Comparison,Mean_Diff,CI_Lower,CI_Upper,Std_Diff,N
SSIM,Set12,25,Adaptive vs l0,-0.0916021593232192,-0.145070110025572,-0.0381342086208662,0.0841525048621479,12
SSIM,Set12,25,Adaptive vs lgss,-0.162776195665972,-0.198772230991183,-0.12678016034076,0.0566536868896608,12
SSIM,Set12,25,Adaptive vs original,-0.0145239723262063,-0.0784230127612117,0.049375068108799,0.100569859892848,12
SSIM,Set12,25,Adaptive vs tv,0.338914684200695,0.327908310239809,0.349921058161581,0.0173227873163527,12
PSNR,Set12,50,Adaptive vs bilateral,-1.37485955177116,-1.43061852556289,-1.31910057797943,0.0877583159907875,12
PSNR,Set12,50,Adaptive vs guided,-1.74045914106121,-1.8129172622464,-1.66800101987602,0.114040884590521,12
PSNR,Set12,50,Adaptive vs l0,-2.34670147173923,-2.47911269537462,-2.21429024810384,0.208400284551953,12
PSNR,Set12,50,Adaptive vs lgss,-1.09041836451733,-1.2642008332503,-0.916635895784355,0.273513943454051,12
PSNR,Set12,50,Adaptive vs original,-2.51072747990991,-2.65632811099029,-2.36512684882953,0.22915891957655,12
PSNR,Set12,50,Adaptive vs tv,1.86084201979934,1.82551907846928,1.89616496112941,0.0555943130974118,12
SSIM,Set12,50,Adaptive vs bilateral,-0.0253211862777662,-0.0272855520496611,-0.0233568205058714,0.00309168947002751,12
SSIM,Set12,50,Adaptive vs guided,-0.0303808087673052,-0.0329227468634984,-0.0278388706711119,0.00400072296000242,12
SSIM,Set12,50,Adaptive vs l0,-0.076907981970816,-0.0859690837540172,-0.0678468801876148,0.0142611490032981,12
SSIM,Set12,50,Adaptive vs lgss,-0.0647550023580643,-0.0876769546388226,-0.0418330500773059,0.0360765594233173,12
SSIM,Set12,50,Adaptive vs original,-0.131764421839565,-0.151849368523704,-0.111679475155427,0.03161143360257,12
SSIM,Set12,50,Adaptive vs tv,0.0503507889586024,0.044620045664443,0.0560815322527618,0.00901954154948096,12
PSNR,custom,10,Adaptive vs bilateral,-8.7835875006129,-16.5760746673781,-0.991100333847699,3.13689822021767,3
PSNR,custom,10,Adaptive vs guided,-7.1467601248382,-15.1620433119457,0.868523062269341,3.22658568773949,3
PSNR,custom,10,Adaptive vs l0,0.00445050769706749,-4.32335176737418,4.33225278276831,1.74217486196522,3
PSNR,custom,10,Adaptive vs original,2.9868501814116,0.376416804559989,5.59728355826321,1.05084084690792,3
SSIM,custom,10,Adaptive vs bilateral,-0.169271892126152,-0.307459677677898,-0.031084106574405,0.0556280696106735,3
SSIM,custom,10,Adaptive vs guided,-0.147066499953242,-0.28089162302451,-0.0132413768819743,0.0538718616275804,3
SSIM,custom,10,Adaptive vs l0,0.00634246597543161,-0.0457539655488755,0.0584388974997387,0.0209716358629731,3
SSIM,custom,10,Adaptive vs original,0.086396021033599,0.0173439869319282,0.15544805513527,0.0277971844213969,3
PSNR,custom,20,Adaptive vs bilateral,-1.81007335677007,-4.41331382005002,0.793167106509882,1.0479453095399,3
PSNR,custom,20,Adaptive vs guided,-1.06985808248017,-4.75953738314929,2.61982121818896,1.48529579629036,3
PSNR,custom,20,Adaptive vs l0,1.90861693404714,0.806626091240416,3.01060777685385,0.443611011416212,3
PSNR,custom,20,Adaptive vs lgss,-0.171581514512867,-1.21612864687892,0.872965617853191,0.42048680611594,3
PSNR,custom,20,Adaptive vs original,4.53356379790293,2.19470621405976,6.8724213817461,0.941516878384009,3
PSNR,custom,20,Adaptive vs tv,8.32287059722047,6.23872067545537,10.4070205189856,0.838983246342088,3
SSIM,custom,20,Adaptive vs bilateral,0.0970005538247813,0.027449949957018,0.166551157692545,0.0279978857608331,3
SSIM,custom,20,Adaptive vs guided,0.11571978207987,0.0781027001831235,0.153336863976616,0.0151429132607311,3
SSIM,custom,20,Adaptive vs l0,0.034866667987361,-0.0214237692547661,0.0911571052294881,0.0226599503626007,3
SSIM,custom,20,Adaptive vs lgss,-0.0473444018715576,-0.0802790779337798,-0.0144097258093355,0.0132579912564575,3
SSIM,custom,20,Adaptive vs original,0.103420147913317,-0.00747698147064299,0.214317277297278,0.0446421021102819,3
SSIM,custom,20,Adaptive vs tv,0.510534918861776,0.380103306261246,0.640966531462305,0.052505789829432,3
PSNR,custom,25,Adaptive vs bilateral,-0.619736979974866,-0.756289375886742,-0.48318458406299,0.0549697366880922,3
PSNR,custom,25,Adaptive vs guided,-0.3066114051805,-1.24254408158231,0.629321271221308,0.376763603714363,3
PSNR,custom,25,Adaptive vs l0,0.256679235198466,-1.21759001113812,1.73094848153505,0.593473235949471,3
PSNR,custom,25,Adaptive vs lgss,-0.867715104444799,-2.35249969660523,0.617069487715636,0.597706232282207,3
PSNR,custom,25,Adaptive vs original,2.6349857552351,-2.39124722374619,7.66121873421639,2.02333105576493,3
PSNR,custom,25,Adaptive vs tv,7.48467547158853,6.24790471113619,8.72144623204088,0.497867229583224,3
SSIM,custom,25,Adaptive vs bilateral,0.06007664012856,0.000532104788008275,0.119621175469112,0.023969901128628,3
